"Advertiser Name","Advertiser URL","MID","Advertiser Description","Link to T&C","Link to Program History","Link to Home Page","Status","Contact Name","Contact Title","State","City","Address","Zip","Country","Phone","Email Address","Commission Terms","Offer","Offer Type","Year Joined","Expiration Date","Return Days","Transaction Update Window","TrueLock","Premium Status","Baseline Commission Terms","Baseline Offer","Baseline Offer Type","Baseline Expiration Date","Baseline Return Days","Baseline Transaction Update Window","Baseline TrueLock"
"1ink.com","http://1ink.com/","37535","1Ink.com a leader in online ink products has been in business over 12 years & is ready to pay you 28% commission on ANY purchase! FREE shipping on orders over $55 & a satisfaction guarantee ensures your consumers ink purchases will be the right one!","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=37535_256774_2.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=37535&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=256774&type=3&subid=0","Active","PMG Affiliate Management for 1ink.com","PMG Affiliate Manager","Colorado","Boulder","1942 Broadway Suite 314 ","80301","US","3032093746","ink@paulsonmanagementgroup.com","private |28.00% commission on all goods","4.2","% of Sale","2013"," 17-MAY-17","90","90","N","N/A","28.00% commission on all goods","3.4","% of Sale"," 16-MAY-17","90","90","N",
"6ks.com","http://www.6ks.com/","38153","6ks.com is your trusted source for fashionable women's clothing. With a large selection in stock, our products are available in various styles and colors. Competitive prices, superior customer service and fast delivery are guaranteed. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38153&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=289311&type=3&subid=0","Active","Viven Chen","Marketer","N","Hong Kong","UNIT04?71F BRIGHT WAY TOWER NO.33 MONG KOK RD KL ","999077","HK","00852-27935511","6ksfashion@gmail.com","private |10.00% commission on all goods","8.1","% of Sale","2013"," 04-MAR-14","20","90","N","N/A","10.00% commission/$1.00 flat fee on all goods","15.1","Flat Fee, % of Sale"," 16-APR-14","30","90","N",
"A4C","http://www.a4c.com","36160","A4C is your one stop 
shop for all your cell phone accessories. 
A4C matches quality product with 
unbeatable prices, a popular combination 
with today's web-savvy consumers.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=36160&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=295264&type=3&subid=0","Active","Aron Brown","Director of Marketing","New York","Brooklyn","320 7th Avenue 260","11213","US","8779994235","aron@all4cellular.com","private |10.00% commission on all goods","17.1","% of Sale","2013"," 31-OCT-18","30","90","N","N/A","6.00% commission on all goods","19.1","% of Sale"," 31-DEC-18","30","90","N",
"AHAlife Holdings Inc.","http://www.ahalife.com/","37615","AHAlife offers 2000+ artisan brands, from traditional to avant-garde. Discover inspiring stories and objects from around the world in home décor, jewelry, beauty, electronics and more. Shop for gifts that enhance lives and protect creativity. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=37615_260290_2.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=37615&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=260290&type=3&subid=0","Active","Team OPMpros.com","Affiliate Program Manager","Quebec","Montreal","5000 Jean-Talon West Suite 290","H4P 1W9","CA","1-877-370-7767","AHAlife@opmpros.com","private |7.00% commission on all goods","5.2","% of Sale","2013"," 31-MAR-14","15","90","N","N/A","7.00% commission on all goods","4.2","% of Sale"," 31-MAR-14","15","90","N",
"Air Filters Delivered","http://www.airfiltersdelivered.com/","38746","Air Filters Delivered has the Best Price in the Industry for HVAC Air Filters, Furnace Filter Replacements, Electrostatic Filters, Washable Filters and disposable air filters.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38746&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=301708&type=3&subid=0","Active","Affiliate Manager","Affiliate Manager","California","Santa Cruz","2125 Delaware Avenue Suite E","95060","US","831-464-1441","airfiltersdelivered@affiliatetraction.com","8.00% commission on all goods","3.1","% of Sale","2014"," 05-AUG-15","30","90","N","N/A","8.00% commission on all goods","3.1","% of Sale"," 05-AUG-15","30","90","N",
"Allurez","http://www.Allurez.com","36401","Allurez is the premier online jewelry store for high quality fine jewelry, designer jewelry, engagement rings, bridal jewelry, and certified loose diamonds. Our high quality marketing material, and constant support, will lead to higher conversions.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=36401_213049.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=36401&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=213049&type=3&subid=0","Active","John","Affiliate Marketing Director ","New York","new york","36 w 47th st ","10036","US","6463127718","partners@allurez.com","private |8.00% commission on all goods","4.1","% of Sale","2013"," 03-NOV-15","30","90","N","N/A","8.00% commission on all goods","3.1","% of Sale"," 04-OCT-15","30","90","N",
"American National Standards Institute Inc.","http://webstore.ansi.org","36327","ANSI's affiliate program will do best on sites that offer books, software, training, industrial supplies, consulting services and standards related programs such as ISO 9000, quality management, ISO 14000, safety and also a variety of other topics. 

","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=36327&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=215094&type=3&subid=0","Active","Tyesha Thomas","Sr. Product Manager","New York","New York","25 West 43 Street, 4FL ","10036","US","212-642-4989","tthomas@ansi.org","private |10.00% commission on all goods","5.1","% of Sale","2013"," 01-DEC-15","45","90","N","N/A","10.00% commission on all goods","2.3","% of Sale"," 01-NOV-15","45","90","N",
"AndOtherBrands.com","http://www.andotherbrands.com/","38556","And Other Brands brings you three iconic British brands in one click. Shop Oasis, Warehouse, or Coast's beautiful collections today.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38556&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=298528&type=3&subid=0","Active","Natalie Afshar","Account Manager","New York","New York","740 Broadway, Suite 701 ","10003","US","2129256558","natalie@directagents.com","7.00% commission on all goods","3.1","% of Sale","2014"," 31-DEC-18","30","90","N","N/A","7.00% commission on all goods","3.1","% of Sale"," 31-DEC-18","30","90","N",
"Auto Detailing Supplies Inc","http://www.smartwax.com/","38914","Based in Southern California, Chemical Guys i sa manufacturer specializing in the highest quality car care chemicals, car wash accessories, buffing pads and machines. Chemical Guys is more than a brand - it's a lifestyle with a worldwide following.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38914&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=314361&type=3&subid=0","Active","Mike Scharnagl","VP, Marketing","California","Inglewood","3915 102 St ","90303","US","310-674-8135","mike@smartwax.com","private |2.00%-6.00% commission on all goods","4.1","% of Sale","2013"," 31-DEC-18","7","90","N","N/A","2.00%-6.00% commission on all goods","3.1","% of Sale"," 05-NOV-18","7","90","N",
"Auto Parts Warehouse","http://www.AutoPartsWarehouse.com","35207","Earn as much as 14% COMMISSION and take advantage of regional brand awareness when you co-promote the Auto Parts Warehouse on your site. We offer discount auto parts and accessories and have the largest on-line inventories.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=35207_320843.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=35207&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=320843&type=3&subid=0","Active","Abigail Santiago","Affiliate Program Manager","California","Carson","16941 Keegan Avenue ","90746","US","(760) 849-4365","asantiago@usautoparts.com","private |8.00% commission on all goods; [private |8.00% commission on selected goods,; private |10.00% commission on selected goods,; private |14.00% commission on selected goods]; ","67.1","% of Sale","2014"," 01-FEB-15","45","90","N","N/A","8.00% commission on all goods; [8.00% commission on selected goods,; 10.00% commission on selected goods,; 14.00% commission on selected goods]; ","5.272","% of Sale"," 01-JAN-15","45","90","N",
"Automotix","http://www.automotix.com/","37578","Automotix, with over 40 million parts available online, is an aggregator of various automotive stores, importers, distributors, dealers, suppliers, wholesalers, re-manufacturers & automotive service providers.   Consumers can find any auto part they need.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=37578&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=257723&type=3&subid=0","Active","Andrew Morgans","Affiliate Manager","Missouri","Pleasant Valley","8608 Brenda Lane ","64068","US","816-447-8963","andrew@automotix.org","private |5.00% commission on all goods","5.1","% of Sale","2013"," 29-MAY-17","60","90","N","N/A","5.00% commission on all goods","3.1","% of Sale"," 18-MAY-17","60","90","N",
"B2C Jewels","http://www.b2cjewels.com","35490","B2C Jewels is a fast-growing online store of fine diamond jewelry and trendy products in gold, pearl & gemstone. Offering free shipping, 30-day returns, and huge discounts guarantee maximum customer come-back. We ship internationally! ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=35490_289385_4.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=35490&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=289385&type=3&subid=0","Active","Yitza Mendez","Director, Affiliate Marketing","New York","New York","16 W 46th St. Suite 902","10036","US","646-624-2173","affiliates@b2cjewels.com","7.00% commission on all goods; [3.00% commission on selected goods,; 3.00% commission on selected goods,; 1.00% commission on selected goods,; $15.00 flat fee on selected goods,; $30.00 flat fee on selected goods,; $50.00 flat fee on selected goods,; $100.00 flat fee on selected goods,; $200.00 flat fee on selected goods]; ","94.4","% of Sale","2013"," 30-APR-14","90","90","N","N/A","7.00% commission on all goods; [3.00% commission on selected goods,; 3.00% commission on selected goods,; 1.00% commission on selected goods,; $15.00 flat fee on selected goods,; $30.00 flat fee on selected goods,; $50.00 flat fee on selected goods,; $100.00 flat fee on selected goods,; $200.00 flat fee on selected goods]; ","94.4","% of Sale"," 30-APR-14","90","90","N",
"Beautorium.com","http://www.beautorium.com","35150","Introducing Beautorium.....we take the guesswork out of going green! Join the growing green revolution and team up with Beautorium, featuring a carefully edited collection of the world's most effective and ethical natural and organic beauty brands.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=35150_168919_3.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=35150&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=168919&type=3&subid=0","Active","Barry King","President","North Carolina","Winston Salem","115 Winfield Ridge Dr ","27103","US","704 817 0549","barry@beautorium.com","private |10.00% commission on all goods","5.3","% of Sale","2013"," 12-DEC-17","60","90","N","N/A","10.00% commission on all goods","3.4","% of Sale"," 12-SEP-17","60","90","N",
"Beauty Encounter","http://www.beautyencounter.com","37349","Beauty Encounter offers discounted prices on all things beauty: fragrances, cosmetics, skincare, hair care, and beauty accessories. We specialize in hard-to-find and discontinued products.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=37349_265419.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=37349&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=265419&type=3&subid=0","Active","Anne Souvannaseng","Director of Marketing","California","Fountain Valley","18480 Pacific Street ","92708","US","714-698-0820 x 8021","affiliate@beautyencounter.com","private |6.00% commission on all goods","11.1","% of Sale","2013"," 30-AUG-15","7","90","N","N/A","6.00% commission on all goods","10.1","% of Sale"," 30-AUG-15","7","90","N",
"Beauty.com","http://www.beauty.com","3002","Beauty.com is a leading online destination for prestige beauty products. The web store provides a highly personalized shopping experience and offers more than 250 brands ranging from widely recognized to niche, hard-to-find products.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=3002_298790.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=3002&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=298790&type=3&subid=0","Active","Tom Featherstone","Online Marketing Manager","Washington","Bellevue","411 108th Ave. NE Suite 1600","98004","US","(425) 372-3200","associate@drugstore.com","8.00% commission on all goods; [ on selected goods,; 0.00% commission on selected goods]; ","684.1","% of Sale","2012"," 01-JAN-15","20","90","N","Premium","8.00% commission on all goods; [ on selected goods,; 0.00% commission on selected goods]; ","684.1","% of Sale"," 01-JAN-15","20","90","N",
"Bedford Fair","http://bedfordfair.blair.com/","38665","Shop for comfortable women's clothing and shoes with Bedford Fair at affordable prices. Clothing available in misses, petite, and women sizes. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38665_301561_2.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38665&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=301561&type=3&subid=0","Active","Chris Park","Marketing Manager","Arizona","Tucson","7840 East Broadway Blvd. Suite 220","85710","US","520-745-4500","ls-bedfordfair@linkshare.com","5.00% commission on all goods; [0.00% commission on selected goods]; ","7.2","% of Sale","2014"," 20-JUN-14","10","90","N","N/A","5.00% commission on all goods; [0.00% commission on selected goods]; ","7.2","% of Sale"," 20-JUN-14","10","90","N",
"Best Buy Co, Inc.","http://www.bestbuy.com","38606","Best Buy is the #1 retailer and most trafficked website for consumer electronics.  You can always count on Best Buy for fantastic customer service and competitive prices on the best electronics, entertainment and appliance products.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38606_20131113_205455.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38606&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=314632&type=3&subid=0","Active","Best Buy Affiliate Team","Account Team","Minnesota","Richfield","7601 Penn Avenue South ","55423","US","(612) 291-1000","Ls-bestbuy@linkshare.com","1.00% commission on all goods; [0.00% commission on selected goods,; 1.70% commission on selected goods,; 2.50% commission on selected goods,; 3.00% commission on selected goods,; 4.00% commission on selected goods,; 5.00% commission on selected goods,; 6.00% commission on selected goods,; $10.00 flat fee on selected goods,; $25.00 flat fee on selected goods]; ","64.275","% of Sale","2014"," 13-MAR-14","7","90","N","N/A","1.00% commission on all goods; [0.00% commission on selected goods,; 1.70% commission on selected goods,; 2.50% commission on selected goods,; 3.00% commission on selected goods,; 4.00% commission on selected goods,; 5.00% commission on selected goods,; 6.00% commission on selected goods,; $10.00 flat fee on selected goods,; $25.00 flat fee on selected goods]; ","64.275","% of Sale"," 13-MAR-14","7","90","N",
"Blair","http://www.blair.com/","38770","Women?s, men?s and home styles that fit you and your budget.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38770_20130916_212615.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38770&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=308080&type=3&subid=0","Active","Chris Park","Affiliate/Partnership Manager","Arizona","Tucson","7840 East Broadway Blvd. ","85710","US","814-723-3600 x6074","cjpark@linkshare.com","9.50% commission on all goods; [0.00% commission on selected goods]; ","3.1","% of Sale","2014"," 18-APR-14","30","90","N","N/A","9.50% commission on all goods; [0.00% commission on selected goods]; ","3.1","% of Sale"," 18-APR-14","30","90","N",
"BlazeVideo Inc","http://www.blazevideo.com/","38230","We are a professional multimedia solution and PC optimization software supplier. We have provided the best and most convenient programs with competitive prices in multi-languages and won a huge reputation among users all over the world since 2002. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38230&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=292425&type=3&subid=0","Active","Helen","affiliate manager","Guangdong","Shenzhen","Room 1507, East Tower Building, ","518057","CN","86-18930396906","affiliate@blazevideo.com","private |50.00%-80.00% commission on all goods","4.1","% of Sale","2013"," 31-MAY-14","30","90","N","N/A","40.00%-60.00% commission on all goods","8.2","% of Sale"," 31-DEC-14","90","90","N",
"Budo Videos","http://www.budovideos.com/shop/customer/home.php","38695","Budovideos is a premiere supplier of martial arts\MMA apparel and gear.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38695_300914_2.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38695&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=300914&type=3&subid=0","Active","Cary Pierce","Affiliate Manager","Florida","Orlando","56 E Pine St Suite 301","32801","US","6824785882","BudoVideos@affiliatemanager.com","10.00% commission on all goods","5.2","% of Sale","2014"," 31-DEC-18","30","90","N","N/A","10.00% commission on all goods","5.2","% of Sale"," 31-DEC-18","30","90","N",
"Buy.com (dba Rakuten.com Shopping)","http://www.rakuten.com/","36342","We are a leading retailer focused on providing a positive shopping experience &  competitive prices and free shipping for over 12 million products. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=36342_20130125_162104.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=36342&nid=1&offerhistory=1&controls=1:1:3","http://affiliate.rakuten.com/fs-bin/click?id=V8uMkWlCTes&offerid=288682&type=3&subid=0","Active","Kaitlin Nguyen","Marketing Specialist","California","Aliso Viejo","85 Enterprise Suite 100","92656","US","(800) 800-0800","ls-buyus@linkshare.com","1.00%-2.00% commission on all goods; [0.25%-1.00% commission on selected goods,; 4.00%-6.00% commission on selected goods,; 0.00% commission on selected goods]; ","820.35","% of Sale","2012"," 05-MAY-14","14","90","N","Premium","1.00%-2.00% commission on all goods; [0.25%-1.00% commission on selected goods,; 4.00%-6.00% commission on selected goods,; 0.00% commission on selected goods]; ","820.35","% of Sale"," 05-MAY-14","14","90","N",
"CWD","http://www.cwdlimited.com","36429","By choosing to become a publisher for CWD, you have at your disposal quality name brand products, competitive and low pricing all year around in addition to product catalogs with an average order value of $324.00 and Conversion Rate of 3.5%- 5%.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=36429&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=237147&type=3&subid=0","Active","CWD Affiliate Team","Online Marketing Coordinator","New York","Cheektowaga","60 Industrial Parkway Suite #Z64 Suite #Z64","14227","US","905-353-1331","affiliate@cwdlimited.com","10.00%-12.50% commission on all goods","13.1","% of Sale","2012"," 20-SEP-15","30","90","N","N/A","10.00%-12.50% commission on all goods","13.1","% of Sale"," 20-SEP-15","30","90","N",
"Cargo Cosmetics","www.Cargocosmetics.com","39024","Cargo creates products that are fresh, innovative and fun. At Cargo, we truly believe that the journey is just as important as the destination. Therefore we will always strive to deliver ""makeup to move you."" Happy travels!","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39024&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=313952&type=3&subid=0","Active","Jessica LaRocco","Affiliate Marketing Manager","New York","New York","950 Third Avenue, 3rd Floor ","10022","US","678.845.6575","jlarocco@tprholdings.com","18.00% commission on all goods","2.1","% of Sale","2014"," 15-NOV-14","45","90","N","N/A","18.00% commission on all goods","2.1","% of Sale"," 15-NOV-14","45","90","N",
"Carlos by Carlos Santana","http://www.carlosshoes.com/","38508","CarlosShoes.com is the official site for Carlos by Carlos Santana Shoes.  These are hip, hot fashionable shoes inspired by the passion and energy that surround Santana's music. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38508_20130606_215209.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38508&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=294545&type=3&subid=0","Active","Erin Buehler","Affiliate Marketing Specialist","Missouri","St. Louis","8300 Maryland Ave. ","63105","US","3148543640","ebuehler@brownshoe.com","10.00% commission on all goods","3.1","% of Sale","2014"," 23-SEP-14","90","90","N","N/A","10.00% commission on all goods","3.1","% of Sale"," 23-SEP-14","90","90","N",
