"Advertiser Name","Advertiser URL","MID","Advertiser Description","Link to T&C","Link to Program History","Link to Home Page","Status","Contact Name","Contact Title","State","City","Address","Zip","Country","Phone","Email Address","Commission Terms","Offer","Offer Type","Year Joined","Expiration Date","Return Days","Transaction Update Window","TrueLock","Premium Status","Baseline Commission Terms","Baseline Offer","Baseline Offer Type","Baseline Expiration Date","Baseline Return Days","Baseline Transaction Update Window","Baseline TrueLock"
"4imprint Inc.","http://www.4imprint.com","35298","4imprint provides businesses and organizations with innovative promotional merchandise, imprinted promotional products and customized gifts. 4imprint offers customers unparalleled efficiency, significant cost-savings and a 360 degree service guarantee.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=35298_20131218_150035.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=35298&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=331099&type=3&subid=0","Active","Jim Simone","VP of Business Development","Wisconsin","Oshkosh","101 commerce street ","54901","US","9202367272 ext 8116","jsimone@4imprint.com","1.00% commission on all goods","23.1","% of Sale","2014"," 31-DEC-15","30","90","N","N/A","1.00% commission on all goods","23.1","% of Sale"," 31-DEC-15","30","90","N",
"A4C","http://www.a4c.com","36160","A4C is your one stop 
shop for all your cell phone accessories. 
A4C matches quality product with 
unbeatable prices, a popular combination 
with today's web-savvy consumers.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=36160&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=303249&type=3&subid=0","Active","Aron Brown","Director of Marketing","New York","Brooklyn","320 7th Avenue 260","11213","US","8779994235","aron@all4cellular.com","6.00% commission on all goods","19.1","% of Sale","2013"," 31-DEC-18","30","90","N","N/A","6.00% commission on all goods","19.1","% of Sale"," 31-DEC-18","30","90","N",
"AHAlife.com","http://www.ahalife.com/","37615","AHAlife offers 2000+ artisan brands, from traditional to avant-garde. Discover inspiring stories and objects from around the world in home décor, jewelry, beauty, electronics and more. Shop for gifts that enhance lives and protect creativity. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=37615_260289_2.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=37615&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=260289&type=3&subid=0","Active","Mitchell Steinberg","Director of Marketing","New York","New York","45 BOND ST ","11237","US","1-646-454-1110","mitchell@ahalife.com","7.00% commission on all goods","4.2","% of Sale","2013"," 02-APR-16","15","90","N","N/A","7.00% commission on all goods","4.2","% of Sale"," 02-APR-16","15","90","N",
"Air Filters Delivered","http://www.airfiltersdelivered.com/","38746","Air Filters Delivered has the Best Price in the Industry for HVAC Air Filters, Furnace Filter Replacements, Electrostatic Filters, Washable Filters and disposable air filters.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38746&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=301708&type=3&subid=0","Active","Affiliate Manager","Affiliate Manager","Florida","Orlando","4157 Seaboard Rd ","32808","US","(407) 298-5733","emarketing@conairindustries.com","8.00% commission on all goods","3.1","% of Sale","2014"," 05-AUG-15","30","90","N","N/A","8.00% commission on all goods","3.1","% of Sale"," 05-AUG-15","30","90","N",
"Allurez","http://www.Allurez.com","36401","Allurez is the premier online jewelry store for high quality fine jewelry, designer jewelry, engagement rings, bridal jewelry, and certified loose diamonds. Our high quality marketing material, and constant support, will lead to higher conversions.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=36401_213049.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=36401&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=213049&type=3&subid=0","Active","John","Affiliate Marketing Director ","New York","new york","36 w 47th st ","10036","US","6463127718","partners@allurez.com","private |8.00% commission on all goods","4.1","% of Sale","2013"," 03-NOV-15","30","90","N","N/A","8.00% commission on all goods","3.1","% of Sale"," 04-OCT-15","30","90","N",
"American National Standards Institute Inc.","http://webstore.ansi.org","36327","ANSI's affiliate program will do best on sites that offer books, software, training, industrial supplies, consulting services and standards related programs such as ISO 9000, quality management, ISO 14000, safety and also a variety of other topics. 

","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=36327&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=215094&type=3&subid=0","Active","Tyesha Thomas","Sr. Product Manager","New York","New York","25 West 43 Street, 4FL ","10036","US","212-642-4989","tthomas@ansi.org","private |10.00% commission on all goods","5.1","% of Sale","2013"," 01-DEC-15","45","90","N","N/A","10.00% commission on all goods","2.3","% of Sale"," 01-NOV-15","45","90","N",
"Approved Colleges","http://www.approvedcolleges.com/","39384","Approved Colleges is a premier provider of online education resources, courses, degree programs and skill assessment tests with one of the web's largest catalogs of higher education data serving both businesses and consumers.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=39384_20140401_202157.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39384&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=331362&type=3&subid=0","Active","Ryan Frazier","Director of Marketing","Virginia","Harrisonburg","4080 Buck Run Ct ","22802","US","561-339-5091","Rfrazier@Approvedcolleges.com","private |20.00% commission on all goods","4.1","% of Sale","2014"," 08-APR-15","60","90","N","N/A","20.00% commission on all goods","3.1","% of Sale"," 10-FEB-16","60","90","N",
"Auto Detailing Supplies Inc.","http://www.smartwax.com/","38914","Based in Southern California, Chemical Guys i sa manufacturer specializing in the highest quality car care chemicals, car wash accessories, buffing pads and machines. Chemical Guys is more than a brand - it's a lifestyle with a worldwide following.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38914&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=314361&type=3&subid=0","Active","Mike Scharnagl","VP, Marketing","California","Inglewood","3915 102 St ","90303","US","310-674-8135","mike@smartwax.com","private |2.00%-6.00% commission on all goods","4.1","% of Sale","2013"," 31-DEC-18","7","90","N","N/A","2.00%-6.00% commission on all goods","3.1","% of Sale"," 05-NOV-18","7","90","N",
"Auto Parts Warehouse","http://www.AutoPartsWarehouse.com","35207","Earn as much as 14% COMMISSION and take advantage of regional brand awareness when you co-promote the Auto Parts Warehouse on your site. We offer discount auto parts and accessories and have the largest on-line inventories.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=35207_320843.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=35207&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=320843&type=3&subid=0","Active","Abigail Santiago","Affiliate Program Manager","California","Carson","16941 Keegan Avenue ","90746","US","(760) 849-4365","asantiago@usautoparts.com","private |8.00% commission on all goods; [private |8.00% commission on selected goods,; private |10.00% commission on selected goods,; private |14.00% commission on selected goods]; ","67.1","% of Sale","2014"," 10-FEB-16","45","90","N","N/A","8.00% commission on all goods; [8.00% commission on selected goods,; 10.00% commission on selected goods,; 14.00% commission on selected goods]; ","5.380","% of Sale"," 05-NOV-15","45","90","N",
"Automotix","http://www.automotix.com/","37578","Automotix, with over 40 million parts available online, is an aggregator of various automotive stores, importers, distributors, dealers, suppliers, wholesalers, re-manufacturers & automotive service providers.   Consumers can find any auto part they need.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=37578&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=257723&type=3&subid=0","Active","Andrew Morgans","Affiliate Manager","Missouri","Pleasant Valley","8608 Brenda Lane ","64068","US","816-447-8963","andrew@automotix.org","private |5.00% commission on all goods","5.1","% of Sale","2013"," 29-MAY-17","60","90","N","N/A","5.00% commission on all goods","3.1","% of Sale"," 18-MAY-17","60","90","N",
